click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,39.0,9.2,32487,22168,8925,1233,97,64,40079,3151,16045
0,49.0,7.7,43,12,16,13,1,1,41,14,966
1,34.0,9.2,24444,17087,6380,880,73,24,28469,3202,52318
0,42.0,8.8,2352,1442,774,120,14,2,2523,73,805
1,29.9,9.1,77773,51643,22321,3577,155,77,110683,3969,72016
1,88.0,9.5,1577,1178,344,47,4,4,3079,543,4809
1,23.0,9.1,7750,4733,2545,442,23,7,9869,369,10647
1,42.0,8.6,2773,1250,1188,294,33,8,2767,675,2771
0,45.0,6.1,3256,338,739,1518,544,117,3490,130,463
0,42.0,6.7,1110,82,373,573,76,6,1195,22,652
1,38.0,8.0,1759,577,888,262,31,1,1936,91,727
0,26.0,9.2,8823,5739,2477,555,35,17,11885,2304,31596
1,19.5,7.5,8518,1499,3561,3067,323,68,15581,969,9203
1,49.0,7.3,512,64,242,181,23,2,535,30,623
0,35.0,8.6,4659,2125,1934,545,51,4,5247,314,9819
1,48.0,8.0,2031,645,958,368,50,10,2154,164,3248
1,38.0,8.7,2859,1457,1066,280,42,14,3049,694,6045
1,28.0,8.4,7667,3520,3159,912,61,15,8581,325,2673
1,69.9,7.7,6867,1588,3320,1705,206,48,6928,1129,5188
1,46.8,7.3,434,73,196,152,10,3,478,35,658
1,37.0,9.2,8202,5237,2475,442,32,16,11757,1461,10626
1,35.0,8.5,2679,982,1379,308,10,0,2959,187,1139
1,25.0,7.8,29652,7799,14115,7235,444,59,37790,501,2179
1,17.0,8.6,47379,22032,19900,5164,236,47,67154,1433,22697
1,49.0,9.1,46,24,22,0,0,0,59,12,824
1,49.5,7.7,2821,599,1500,672,42,8,3106,97,725
0,28.0,8.5,7705,3031,3649,964,54,7,8610,681,13123
0,26.0,8.9,23881,13685,8574,1528,71,23,40964,555,10209
1,23.0,8.9,37979,20168,14053,3418,265,75,48212,3812,13094
1,32.0,8.3,3580,1222,1807,516,32,3,3838,198,4669
1,76.8,8.7,16675,8597,6531,1432,99,16,20402,350,1850
1,25.0,9.2,77482,52431,20941,3878,155,77,116211,1385,16303
1,42.0,7.5,29,11,11,4,3,0,33,8,133
0,42.0,7.9,2873,786,1526,496,57,8,3062,60,2402
0,49.0,7.7,357,86,179,76,15,1,373,19,924
1,49.8,8.5,412,197,168,38,5,4,433,80,3286
0,68.0,7.4,179,38,74,55,9,3,177,70,1187
0,35.0,8.1,10617,4613,4039,1690,201,74,12493,529,4020
0,25.0,8.6,112763,53112,41948,15223,1917,563,140827,5868,65902
0,49.8,7.9,27,6,12,9,0,0,31,6,849
0,29.8,8.9,30239,17963,9949,2177,120,30,37014,1254,4981
1,16.0,9.3,25408,17830,6562,941,50,25,31183,1192,11796
1,22.0,8.3,9426,3108,4841,1384,75,18,11864,540,5095
0,79.6,8.4,38309,13332,19232,5248,421,76,44366,2603,20433
0,25.0,7.8,16223,4068,8055,3809,243,48,19060,223,2699
1,29.5,6.9,51747,9418,19716,18267,3674,672,61357,1899,13184
0,30.0,9.0,13145,8146,4145,802,39,13,17201,626,8869
1,42.0,8.5,22952,12097,8447,2065,252,91,24612,625,21441
0,48.0,7.2,3966,603,1642,1448,234,39,4446,226,5668
